revision;file;methodSignature
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryStringQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoolQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/HasChildQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MatchQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryBuilders;termsLookupQuery(String);public static TermsQueryBuilder termsLookupQuery(String name) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/HasChildQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/AndQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoostingQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ScriptQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoShapeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NestedQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/DisMaxQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TypeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/AndQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanFirstQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TermsQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/test/java/org/elasticsearch/index/query/SimpleIndexQueryParserTests;parse(QueryParseContext);@Override        public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/WildcardQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NestedQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/PrefixQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/PrefixQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ExistsQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoShapeQueryParser;getArgs(ShapeBuilder,ShapeRelation);public static SpatialArgs getArgs(ShapeBuilder shape, ShapeRelation relation) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/LimitQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/NotQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/IndicesQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MultiMatchQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MissingQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FuzzyQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FilteredQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanOrQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/RangeQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/BoostingQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FuzzyQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/DisMaxQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SimpleQueryStringFlag;resolveFlags(String);static int resolveFlags(String flags) {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TermsQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TermQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanFirstQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FieldMaskingSpanQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryFilterParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/WildcardQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MatchAllQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MissingQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanNearQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/LimitQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TypeQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/TemplateQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params builderParams) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanTermQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanWithinQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/HasParentQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/MatchAllQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/CommonTermsQueryBuilder;doXContent(XContentBuilder,Params);@Override    public void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/FQueryFilterParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoDistanceQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/GeoDistanceRangeQueryParser;names();@Override    public String[] names() {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanWithinQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/QueryFilterBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/OrQueryBuilder;doXContent(XContentBuilder,Params);@Override    protected void doXContent(XContentBuilder builder, Params params) throws IOException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_83f8849_9b230db/rev_83f8849-9b230db;/src/main/java/org/elasticsearch/index/query/SpanContainingQueryParser;parse(QueryParseContext);@Override    public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_b282ac6_8f2dc10/rev_b282ac6-8f2dc10;/core/src/test/java/org/elasticsearch/index/query/SimpleIndexQueryParserTests;parse(QueryParseContext);@Override        public Query parse(QueryParseContext parseContext) throws IOException, QueryParsingException {
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_71f84b3_49bef19/rev_71f84b3-49bef19;/core/src/main/java/org/elasticsearch/index/query/TermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_71f84b3_49bef19/rev_71f84b3-49bef19;/core/src/main/java/org/elasticsearch/index/query/SpanTermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_71f84b3_49bef19/rev_71f84b3-49bef19;/core/src/main/java/org/elasticsearch/index/query/RangeQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_11492b8_cdd1325/rev_11492b8-cdd1325;/core/src/main/java/org/elasticsearch/index/query/ExistsQueryParser;newFilter(QueryParseContext,String,String);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_88e3d6c_90f32d4/rev_88e3d6c-90f32d4;/core/src/main/java/org/elasticsearch/index/query/NotQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_88e3d6c_90f32d4/rev_88e3d6c-90f32d4;/core/src/main/java/org/elasticsearch/index/query/ConstantScoreQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_88e3d6c_90f32d4/rev_88e3d6c-90f32d4;/core/src/main/java/org/elasticsearch/index/query/RangeQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_ac92ad6_964a849/rev_ac92ad6-964a849;/core/src/main/java/org/elasticsearch/index/query/TermQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_8f6398a_abcf269/rev_8f6398a-abcf269;/core/src/test/java/org/elasticsearch/index/mapper/index/IndexTypeMapperTests;testExplicitDisabledIndexMapper();
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_8776463_219f481/rev_8776463-219f481;/core/src/main/java/org/elasticsearch/index/query/MissingQueryParser;newFilter(QueryParseContext,String,boolean,boolean,String);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_8776463_219f481/rev_8776463-219f481;/core/src/main/java/org/elasticsearch/index/query/RangeQueryParser;parse(QueryParseContext);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_8776463_219f481/rev_8776463-219f481;/core/src/main/java/org/elasticsearch/index/query/ExistsQueryParser;newFilter(QueryParseContext,String,String);
/home/ramdisk/experiment5/projects/elasticsearch/revisions/rev_99398ad_caca13c/rev_99398ad-caca13c;/core/src/test/java/org/elasticsearch/percolator/MultiPercolatorTests;initNestedIndexAndPercolation();void initNestedIndexAndPercolation() throws IOException {
