revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_fee4fee_e6c6f18/rev_fee4fee-e6c6f18.revisions;432;278;0;278;2;154;153;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a67101b_20a1771/rev_a67101b-20a1771.revisions;437;277;0;277;2;160;160;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_323d06e_d9236a6/rev_323d06e-d9236a6.revisions;546;277;0;277;2;269;269;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_40fcb37_8b307ed/rev_40fcb37-8b307ed.revisions;546;277;0;277;2;269;269;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_1853845_e15aa2d/rev_1853845-e15aa2d.revisions;546;277;0;277;2;269;268;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a68baa8_e6bd103/rev_a68baa8-e6bd103.revisions;546;277;0;277;2;269;268;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_cafa72e_2c0bccd/rev_cafa72e-2c0bccd.revisions;455;277;0;277;2;178;178;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a2e5ad7_c7b76df/rev_a2e5ad7-c7b76df.revisions;469;277;0;277;2;192;192;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_af3231c_627b8a2/rev_af3231c-627b8a2.revisions;469;277;0;277;2;192;190;2;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_5062937_fb51ff0/rev_5062937-fb51ff0.revisions;469;277;0;277;2;192;192;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9c681b1_4d669f4/rev_9c681b1-4d669f4.revisions;469;277;0;277;2;192;192;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_7e2ce69_cd393a3/rev_7e2ce69-cd393a3.revisions;471;277;0;277;2;194;194;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_7d3ae72_2b69a4a/rev_7d3ae72-2b69a4a.revisions;477;277;0;277;2;200;199;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6f8e8f3_4f85274/rev_6f8e8f3-4f85274.revisions;482;277;0;277;2;205;205;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0ec6009_59cf993/rev_0ec6009-59cf993.revisions;482;277;0;277;2;205;205;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f4768d0_92010b5/rev_f4768d0-92010b5.revisions;484;277;0;277;2;207;206;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_bb61cd4_be7ae9a/rev_bb61cd4-be7ae9a.revisions;495;278;0;278;2;217;214;3;0;1;3;1;21
/experiment_results/projects/async-http-client/revisions/rev_a7b0fcd_f715493/rev_a7b0fcd-f715493.revisions;498;278;0;278;2;220;219;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_e076599_9f48391/rev_e076599-9f48391.revisions;501;278;0;278;2;223;223;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_082283f_c766c38/rev_082283f-c766c38.revisions;503;278;0;278;2;225;224;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0ff3ce5_95fc68b/rev_0ff3ce5-95fc68b.revisions;501;278;0;278;2;223;221;2;0;1;6;1;21
/experiment_results/projects/async-http-client/revisions/rev_ddd77a0_6ced4b8/rev_ddd77a0-6ced4b8.revisions;511;281;0;281;2;230;230;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ed7bffc_d9b690d/rev_ed7bffc-d9b690d.revisions;512;281;0;281;3;231;231;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c3651ee_4d2ab70/rev_c3651ee-4d2ab70.revisions;511;281;0;281;2;230;228;2;0;0;2;0;21
/experiment_results/projects/async-http-client/revisions/rev_d6ee389_a31de48/rev_d6ee389-a31de48.revisions;512;281;0;281;2;231;231;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_5ad8256_849b3ba/rev_5ad8256-849b3ba.revisions;512;281;0;281;2;231;231;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_230933c_49c29c4/rev_230933c-49c29c4.revisions;513;281;0;281;2;232;231;1;0;0;1;0;22
/experiment_results/projects/async-http-client/revisions/rev_49c29c4_b6d4dfb/rev_49c29c4-b6d4dfb.revisions;513;281;0;281;2;232;232;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_4ef7b44_54310ce/rev_4ef7b44-54310ce.revisions;513;281;0;281;2;232;232;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a0a75dc_eca66ea/rev_a0a75dc-eca66ea.revisions;564;281;0;281;2;283;283;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_2be790b_7f466b4/rev_2be790b-7f466b4.revisions;564;281;0;281;2;283;283;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_d4e7833_3407e5c/rev_d4e7833-3407e5c.revisions;564;281;0;281;2;283;279;4;0;0;16;0;21
/experiment_results/projects/async-http-client/revisions/rev_b2ff86b_efe60cb/rev_b2ff86b-efe60cb.revisions;564;281;0;281;2;283;283;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f973ff2_f830861/rev_f973ff2-f830861.revisions;564;281;0;281;2;283;283;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_44ef934_3287745/rev_44ef934-3287745.revisions;566;281;0;281;2;285;285;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_3d36dba_32ed634/rev_3d36dba-32ed634.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_fbf9ca5_7dd076c/rev_fbf9ca5-7dd076c.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f2d8031_7732db4/rev_f2d8031-7732db4.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_5cf40ee_a70bd89/rev_5cf40ee-a70bd89.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_25dcb3b_eb5eb2c/rev_25dcb3b-eb5eb2c.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_35a7a7d_a6caf68/rev_35a7a7d-a6caf68.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6e714f4_0963b7d/rev_6e714f4-0963b7d.revisions;567;281;0;281;2;286;285;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0963b7d_e5be9b6/rev_0963b7d-e5be9b6.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_0a09ae7_8264af0/rev_0a09ae7-8264af0.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_2206977_4e6e58f/rev_2206977-4e6e58f.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_241dc36_aff740c/rev_241dc36-aff740c.revisions;567;281;0;281;2;286;286;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_d81c72d_ed2cd62/rev_d81c72d-ed2cd62.revisions;567;281;0;281;2;286;282;4;0;2;2;1;22
